texts,tags
☹️,neg
โคตรฟิน,pos
ฟิน,pos
สบายๆ,pos
การหาอาชีพที่ชอบจริงๆ ละทำให้มีความมั่นคงในรายได้มันยาก บางทีอาชีพที่ทำรายได้มากเราก็ไม่ได้ชอบจริงๆ,neg
ช่วงนี้ใช้เงินเยอะมากเลย เสียดายเงิน,neg
อยากทำงานหาเงินเยอะๆละเอาไปใช้สนองความสุขตัวเองเป้าหมายคือต้องรวย,pos
การเงินช่วงนี้ดีสุดๆไปเลยจ่ะ ไหลมาเทมานะจ๊ะ อิอิ,pos
น่าเบื่อจริงๆ,neg
ฉันรักแมว,pos
การใช้เงินอย่างมีประสิทธิภาพ เริ่มจากการเข้าใจถึงหนี้สิน และ สินทรัพย์,pos
ไม่มีตังใช้ต้องประหยัดด,neg
อยากมีเงินเยอะๆๆ,neg
ถ้ามีเงินเยอะกว่านี้ชีวิตคงจะดีกว่านี้ในทุกๆเรื่อง  บางทีอยากไปเรียนภาษาที่ต่างประเทศก็ต้องมาคิดว่าจะมีเงินจ่ายค่าเทอมมั้ยฟุ่มเฟือยรึเปล่า แบบอยากมีประสบการณ์แต่เรื่องเงินไม่อำนวยจริงๆ,neg
การเดินทางคือการเรียนรู้,pos
เงินไม่ใช่ทุกอย่างแต่เงินช่วยอำนวยความสะดวกหลายๆอย่าง,pos
อยากเลิกทำงานนี้เพราะหัวหน้างานเรื่องเยอะ แต่เพื่อนร่วมงานดีมาก ,neg
ถ้าเงินเหมือนต้นไม้ในบ้านที่เราดูแลให้อยู่ด้วยตลอดไปได้และเติบโตไปเรื่อยๆ แสดงว่าเราเป็นคนที่รู้จักคำว่าเอาใจใส่และคิดเป็น,pos
ถ้าไม่มีเงิน ชีวิตก็ไม่มีอะไรดีเลย,neg
เงินซื้อได้ทุกสิ่ง รวมถึงตัวเราด้วย เพราะเคยขายมาแล้ว,pos
ผมคิดว่าเงินเป็นสิ่งจำเป็น เพราะสามารถซื้อความสุขได้,neg
เงินเปปัจจัยสำคัญในการดำเนินชีวิต,neg
ผู้คนชอบใช้เงินเป็นตัวชี้วัดความสำเร็จ,neg
แค่คิดว่าบางครั้งความคิดของคนค่อนข้างน่ากลัวค่ะ เราไม่รู้เลยว่าใครกำลังคิดอะไรอยู่ คิดอย่างไรกับเรา บางครั้งสิ่งที่คิดว่าดีแล้ว อาจจะยังไม่ดีในสายตาคนอื่น นั่นเป็นอีกสาเหตุหนึ่งที่ทำให้คนเราแตกต่างกัน ซึ่งเราคิดว่าเป็นเรื่องที่ดี แต่อีกแง่หนึ่งคือ มันทำให้เราถูกตีกรอบให้มีความคิดที่ไปในทางเดียวกันโดยที่ไม่รู้ ถ้าใครออกนอกทางนี้จะต้องถูกว่า ถูกมองว่าไม่ดี แปลกแยก ซึ่งในบางครั้งมันก็เป็นแค่ความเห็นต่าง และสร้างความรู้สึกที่ไม่ดีให้กับคนที่คิดต่างทั้งที่ไม่ได้ทำผิดอะไร บางครั้งความคิดแบบนี้ก็ทำให้เกิดการกลั่นแกล้ง หรือการล่าแม่มดเกิดขึ้น จากความคิดหรือการกระทำที่น่ากลัวที่แสดงออกมา ยิ่งในปัจจุบันที่มีการสื่อสารที่สะดวกรวดเร็วด้วยแล้ว เรายิ่งรู้สึกว่าความคิดของคนมันดังขึ้น ทั้งคลิปด่าทำร้ายกันแม้แต่ความคิดเห็นหรือโพสต์เล็ก ๆ น้อย ๆ ก็สามารถแสดงความคิดที่จงใจกลั่นแกล้งบุคคลอื่น และส่งไปถึงอีกฝ่ายได้อย่างง่ายดาย ผลที่ตามมาอาจทำให้อีกฝ่ายแย่จนถึงขนาดเป็นโรคทางจิตเวชหรือมีความคิดฆ่าตัวตายได้เราอยากให้คนในสังคมเปิดใจเปิดโอกาสให้กันและกันบ้าง ยอมรับในความแตกต่าง และพูดคุยกันด้วยเหตุผลไม่ใช่ด้วยอารมณ์หรือความสุขส่วนตัว คิดก่อนที่จะทำอะไรและคิดถึงใจผู้อื่นก่อนเสมอ สังคมคงจะน่าอยู่มากขึ้นกว่านี้นะคะ,neg
